2021-01-01 00:00:00 Launching analysis for 1888380397 with LEAN Engine v2.5.0.0
2020-12-30 00:00:00 Initilize Complete.
2021-10-26 00:00:00 ROC: 10.825223610737082
2021-10-27 00:00:00 ROC: 16.74288206266034
2021-10-28 00:00:00 ROC: 19.046853746581178
2021-10-29 00:00:00 ROC: 17.240830935162467
2021-10-30 00:00:00 ROC: 14.755319418182609
2021-11-02 00:00:00 ROC: 14.33202858006693
2021-11-03 00:00:00 ROC: 12.097584639994993
2021-11-04 00:00:00 ROC: 11.151551974199851
2021-11-05 00:00:00 ROC: 15.042144905782346
2021-11-06 00:00:00 ROC: 17.233526218326652
2021-11-09 00:00:00 ROC: 20.724801127042266
2021-11-10 00:00:00 ROC: 16.726220191911327
2021-11-11 00:00:00 ROC: 13.262523883411655
2021-11-12 00:00:00 ROC: 7.450698823504475
2021-11-13 00:00:00 ROC: 4.879010471980618
2021-11-16 00:00:00 ROC: 6.631859398857214
2021-11-17 00:00:00 ROC: 5.558741029655212
2021-11-18 00:00:00 ROC: 6.323219940867709
2021-11-19 00:00:00 ROC: 3.1742135977022654
2021-11-20 00:00:00 ROC: 2.5069204668024128
2021-11-23 00:00:00 ROC: 3.8578810537295656
2021-11-24 00:00:00 ROC: 0.6711405778594624
2021-11-25 00:00:00 ROC: 1.388553468453079
2021-11-27 00:00:00 ROC: 7.0157716033631345
2021-11-30 00:00:00 ROC: 0.2993238499077526
2021-12-01 00:00:00 ROC: 3.2517406963117863
2021-12-02 00:00:00 ROC: -1.1547693311982625
2021-12-03 00:00:00 ROC: -8.126999541206002
2021-12-04 00:00:00 ROC: -6.508105385128231
2021-12-07 00:00:00 ROC: -13.841208032855667
2021-12-08 00:00:00 ROC: -13.294571035848158
2021-12-09 00:00:00 ROC: -2.081869917306316
2021-12-10 00:00:00 ROC: 0.6521646501792211
2021-12-11 00:00:00 ROC: -4.576157834487082
2021-12-14 00:00:00 ROC: 4.122112057802072
2021-12-15 00:00:00 ROC: -6.181582535506432
2021-12-16 00:00:00 ROC: -4.887152256838163
2021-12-17 00:00:00 ROC: 6.892318995450313
2021-12-18 00:00:00 ROC: -3.088219687931666
2021-12-21 00:00:00 ROC: 0.4797449439756178
2021-12-22 00:00:00 ROC: -4.75291570142247
2021-12-23 00:00:00 ROC: -6.790489101411835
2021-12-24 00:00:00 ROC: -4.788834704724924
2021-12-28 00:00:00 ROC: 1.8714560702062026
2021-12-29 00:00:00 ROC: 3.534960366509719
2021-12-30 00:00:00 ROC: 6.91333470748429
2021-12-31 00:00:00 ROC: 10.01929378202881
2022-01-01 00:00:00 ROC: 2.2257087826993978
2022-01-01 00:00:00 Algorithm Id:(1888380397) completed in 0.57 seconds at 1k data points per second. Processing total of 694 data points.
